product_category,product_name,brand,current_market_price,purchase_price,purchase_age_days,initial_warranty_days,warranty_left_days,condition_score,condition_grade,scratch_severity,dent_severity,crack_severity,usage_severity,missing_accessories,seller_description,resale_price
Furniture,MALM Bed Frame,IKEA,125300,142400,666,730,64,93,A,1,0,0,0,FALSE,Like new condition. Original charger and box included.,98700
Televisions,Bravia OLED A80L Smart TV,Sony,134400,143400,18,1460,1442,94,A,1,1,0,0,FALSE,Barely used product with original packaging and invoice available.,127680
Furniture,Interio Wardrobe,Godrej,67100,65600,632,1825,1193,84,B,3,0,0,1,FALSE,Minor scratches on body.,52550
Laptops,Latitude 5440 8GB RAM,Dell,176000,178700,2446,1460,0,39,Reject,6,4,0,8,FALSE,Visible scratches on body. Small dents. Heavily used with visible wear.,17600
Tablets,iPad Air 512GB,Apple,25200,26600,316,1095,779,100,A,0,0,0,0,FALSE,Barely used product with original packaging and invoice available.,21850
Washing Machines,Bloomwash 8kg,Whirlpool,25400,28500,558,1460,902,100,A,0,0,0,0,FALSE,Excellent condition with minimal signs of use. All accessories included.,21500
Washing Machines,Bloomwash 8kg,Whirlpool,61500,71600,737,180,0,88,B,0,1,0,1,FALSE,Fully functional with light cosmetic wear.,31400
Washing Machines,Eon 7kg,Godrej,54000,62800,1545,331,0,82,B,1,0,0,2,FALSE,Fully functional with light cosmetic wear.,16050
Televisions,Bravia X75L 43 Smart TV,Sony,127300,140100,2307,1825,0,31,Reject,5,7,0,9,TRUE,Visible scratches on body. Noticeable dents. Heavily used with visible wear.,12750
Furniture,KALLAX Shelf,IKEA,48200,50300,618,180,0,83,B,4,3,0,0,FALSE,Minor scratches on body. Small dents.,29050
Refrigerators,Edge 205L,Godrej,71800,76500,472,1460,988,76,B,0,0,4,0,FALSE,Crack on outer panel but usable.,30700
Microwaves,Convection 28L,LG,26300,31200,809,1825,1016,81,B,0,0,0,1,TRUE,Missing original accessories or packaging.,13700
Microwaves,Grill 23L,Samsung,35600,35100,468,1460,992,93,A,0,0,0,2,FALSE,Like new condition. Original charger and box included.,27600
Smart Watches,Wave Call,Boat,14600,15000,565,1825,1260,85,B,0,4,0,0,FALSE,Small dents.,7650
Furniture,POANG Armchair,IKEA,36600,37500,1676,1582,0,47,D,7,1,0,8,TRUE,Visible scratches on body. Heavily used with visible wear. Missing original accessories or packaging.,7450
Tablets,Galaxy Tab S9 FE,Samsung,13700,16300,1503,180,0,83,B,2,0,0,2,FALSE,Minor scratches on body.,3500
Laptops,IdeaPad Slim 3,Lenovo,65000,71100,2500,1825,0,38,Reject,3,1,6,3,FALSE,Cracked corner but device works properly. Minor scratches on body.,6500
Headphones,WF-1000XM5,Sony,8000,7900,1136,545,0,83,B,2,1,0,2,FALSE,Minor scratches on body.,2250
Headphones,Endurance Peak,JBL,14800,15500,1512,1111,0,54,D,5,2,0,7,FALSE,Visible scratches on body. Small dents. Heavily used with visible wear.,2300
Washing Machines,Front Load 9kg,LG,44500,44200,2319,1460,0,60,C,5,2,0,7,FALSE,Visible scratches on body. Small dents. Heavily used with visible wear.,6000
Washing Machines,Washer Dryer 10.5kg,LG,45900,44600,678,1825,1147,95,A,0,0,0,1,FALSE,Excellent condition with minimal signs of use. All accessories included.,31400
Mobile Phones,iPhone SE 64GB,Apple,91000,90500,1226,1825,599,60,C,1,0,3,2,TRUE,Missing original accessories or packaging.,13250
Smart Watches,Galaxy Watch 6,Samsung,44500,48900,574,365,0,91,A,3,0,0,0,FALSE,Minor scratches on body.,22300
Mobile Phones,Galaxy S24,Samsung,80500,96800,981,1825,844,34,Reject,8,9,1,7,FALSE,Visible scratches on body. Noticeable dents. Heavily used with visible wear.,9050
Furniture,Sofa Cum Bed,Godrej,87500,95100,14,365,351,100,A,0,0,0,1,FALSE,Excellent condition with minimal signs of use. All accessories included.,83100
Washing Machines,Eon 7kg,Godrej,85900,88800,324,730,406,94,A,0,1,0,0,FALSE,Excellent condition with minimal signs of use. All accessories included.,67350
Smart Watches,Watch Series 8,Apple,10500,12300,1267,545,0,32,Reject,10,5,0,8,TRUE,Visible scratches on body. Noticeable dents. Heavily used with visible wear.,1050
Headphones,Galaxy Buds2 Pro,Samsung,9700,11500,121,1825,1704,90,A,3,1,0,1,FALSE,Minor scratches on body.,7900
Tablets,Galaxy Tab S9 64GB,Samsung,62800,72200,51,180,129,92,A,0,3,0,0,FALSE,Small dents.,53000
Washing Machines,Bloomwash 8kg,Whirlpool,101600,105500,216,730,514,87,B,5,0,0,1,FALSE,Visible scratches on body.,79000
Televisions,OLED C3 55 Smart TV,LG,60100,57500,1509,1391,0,79,B,0,0,0,4,FALSE,Moderate usage marks.,12050
Mobile Phones,Galaxy S23,Samsung,66800,70900,976,1039,63,83,B,1,0,0,1,TRUE,Missing original accessories or packaging.,26400
Refrigerators,NXW 470L,Godrej,64500,66000,1782,545,0,66,C,5,1,0,4,FALSE,Visible scratches on body. Moderate usage marks. Refurbished and tested by seller.,11400
Smart Watches,Galaxy Watch 6 Classic,Samsung,12000,14100,495,1460,965,94,A,2,0,0,1,FALSE,Excellent condition with minimal signs of use. All accessories included.,7900
Tablets,iPad 10th Gen,Apple,38600,37300,713,1825,1112,88,B,0,0,0,1,TRUE,Missing original accessories or packaging.,19100
Smart Watches,Galaxy Watch 5,Samsung,31700,30500,308,365,57,42,D,7,3,6,3,FALSE,Cracked corner but device works properly. Visible scratches on body. Small dents.,4100
Tablets,Tab P11,Lenovo,25700,27700,880,1095,215,76,B,4,0,0,2,FALSE,Minor scratches on body.,8750
Laptops,Spectre x360 128GB,HP,163200,163000,2227,180,0,36,Reject,2,0,6,6,FALSE,Cracked corner but device works properly. Minor scratches on body. Moderate usage marks.,16320
Headphones,AirPods Pro,Apple,27300,27200,1092,180,0,41,D,5,0,7,4,FALSE,Major crack visible but product powers on. Visible scratches on body. Moderate usage marks.,2750
Refrigerators,Convertible 324L,Samsung,80000,83200,772,1095,323,61,C,2,0,5,4,FALSE,Crack on outer panel but usable. Minor scratches on body. Moderate usage marks.,18500
Tablets,Galaxy Tab S9,Samsung,9500,10300,298,1825,1527,90,A,1,3,0,0,FALSE,Small dents.,6350
Televisions,Bravia OLED A80L Smart TV,Sony,169700,189200,522,180,0,63,C,4,1,1,4,TRUE,Minor scratches on body. Moderate usage marks. Missing original accessories or packaging.,56450
Laptops,ThinkPad E14 64GB,Lenovo,110600,116600,364,1460,1096,89,B,1,1,0,0,TRUE,Missing original accessories or packaging.,70350
Washing Machines,Edge Ultima 8kg,Godrej,27700,33400,2368,730,0,23,Reject,2,0,7,3,TRUE,Major crack visible but product powers on. Minor scratches on body. Missing original accessories or packaging.,2770
Washing Machines,Washer Dryer 10.5kg,LG,17800,19600,676,1825,1149,34,Reject,5,6,3,8,TRUE,Visible scratches on body. Noticeable dents. Heavily used with visible wear.,2600
Headphones,WH-1000XM5,Sony,5400,5600,224,180,0,95,A,0,2,0,0,FALSE,Like new condition. Original charger and box included.,4000
Microwaves,Grill 23L,Samsung,33900,33600,1520,1460,0,22,Reject,2,2,8,6,TRUE,Major crack visible but product powers on. Minor scratches on body. Small dents.,3400
Laptops,MacBook Pro 14,Apple,131000,154700,1586,1825,239,84,B,0,0,0,2,FALSE,Fully functional with light cosmetic wear.,35850
Televisions,Bravia X90L 55 Smart TV,Sony,117800,124500,606,1095,489,80,B,8,0,0,1,FALSE,Visible scratches on body.,47400
Microwaves,Solo 20L,Samsung,32800,34600,608,365,0,85,B,1,0,0,3,FALSE,Fully functional with light cosmetic wear.,19650
Microwaves,Eon 25L,Godrej,12300,14300,1646,1825,179,62,C,3,1,1,3,FALSE,Minor scratches on body.,2200
Laptops,XPS 13 16GB RAM,Dell,129200,151400,366,564,198,26,Reject,5,5,8,7,FALSE,Major crack visible but product powers on. Visible scratches on body. Noticeable dents.,12920
Headphones,Immortal 1000D,Boat,11700,11500,237,180,0,90,A,2,0,0,0,FALSE,Like new condition. Original charger and box included.,8150
Smart Watches,Xtend Pro,Boat,18500,21500,1433,545,0,69,C,6,1,0,3,FALSE,Visible scratches on body.,3300
Smart Watches,Xtend Pro,Boat,30000,31900,710,180,0,13,Reject,6,2,10,8,FALSE,Major crack visible but product powers on. Visible scratches on body. Small dents.,3000
Headphones,Galaxy Buds2 Pro,Samsung,9600,10000,31,1460,1429,99,A,0,0,0,1,FALSE,Excellent condition with minimal signs of use. All accessories included.,9100
Headphones,WH-1000XM5,Sony,3400,3300,2458,1460,0,58,D,1,4,0,6,FALSE,Small dents. Moderate usage marks.,400
Smart Watches,Wena 3,Sony,17000,19200,742,365,0,100,A,0,0,0,0,FALSE,Like new condition. Original charger and box included.,9250
Refrigerators,Convertible 335L,LG,106400,105400,2391,365,0,47,D,6,2,0,7,FALSE,Visible scratches on body. Small dents. Heavily used with visible wear.,13000
Microwaves,Convection 28L,LG,22700,24200,858,545,0,66,C,3,3,0,2,TRUE,Minor scratches on body. Small dents. Missing original accessories or packaging.,7000
Mobile Phones,iPhone 16 256GB,Apple,73500,78900,1411,545,0,15,Reject,9,8,4,8,TRUE,Cracked corner but device works properly. Visible scratches on body. Noticeable dents.,7350
Televisions,Bravia OLED A80L,Sony,121800,137100,1653,730,0,25,Reject,3,1,10,3,FALSE,Major crack visible but product powers on. Minor scratches on body.,12200
Mobile Phones,Galaxy Z Fold5 8GB RAM,Samsung,122000,125800,81,365,284,100,A,1,0,0,0,FALSE,Excellent condition with minimal signs of use. All accessories included.,115900
Furniture,KALLAX Shelf,IKEA,49500,50200,1078,730,0,91,A,0,0,0,0,FALSE,Like new condition. Original charger and box included.,34600
Laptops,MacBook Pro 16 64GB,Apple,129600,138000,53,720,667,97,A,0,0,0,1,FALSE,Like new condition. Original charger and box included.,123100
Laptops,MacBook Air M1,Apple,152400,171500,1099,365,0,46,D,2,0,8,2,FALSE,Major crack visible but product powers on. Minor scratches on body.,15250
Mobile Phones,iPhone 13 8GB RAM,Apple,67200,64700,1469,180,0,37,Reject,4,0,8,3,FALSE,Major crack visible but product powers on. Minor scratches on body.,6720
Headphones,WH-1000XM4,Sony,16100,18100,2315,1460,0,72,C,1,0,0,5,FALSE,Moderate usage marks.,3500
Furniture,BILLY Bookcase,IKEA,58100,56400,678,333,0,71,C,2,3,0,4,FALSE,Minor scratches on body. Small dents. Moderate usage marks.,32300
Furniture,Interio Wardrobe,Godrej,22400,24000,1689,180,0,70,C,0,0,0,6,FALSE,Moderate usage marks.,9550
Microwaves,Grill 25L,Whirlpool,30500,36400,1854,365,0,19,Reject,6,5,5,8,FALSE,Crack on outer panel but usable. Visible scratches on body. Noticeable dents.,3050
Microwaves,Solo 20L,LG,42700,45800,495,730,235,80,B,0,2,2,2,FALSE,Small dents.,19100
Tablets,Galaxy Tab S8,Samsung,10600,12600,2083,545,0,70,C,2,3,0,1,FALSE,Minor scratches on body. Small dents.,1550
Furniture,POANG Armchair,IKEA,86300,98600,566,1095,529,94,A,0,0,0,0,FALSE,Like new condition. Original charger and box included.,79450
Tablets,Yoga Tab 11,Lenovo,32800,32400,2338,1825,0,37,Reject,3,0,7,2,FALSE,Major crack visible but product powers on. Minor scratches on body.,3300
Mobile Phones,iPhone 15,Apple,47300,49900,1209,180,0,88,B,0,0,0,0,FALSE,Fully functional with light cosmetic wear.,13750
Headphones,AirPods Pro,Apple,12600,14600,1030,595,0,76,B,4,0,0,2,FALSE,Minor scratches on body.,3600
